version: 1.0,published: 04/09/2019,date queried: 03/23/2020,email: robokids@live.ca,grade: 1,"domains: general, science, math, social_studies",,,,,,
hinder,,,,,MC,5,A. Anger and haste ____ good counsel.  B. Unfortunately these drugs are quite toxic and ____ the body's ability to fight off infection.,*hinder,jakob,hinder,struggled
onstage,,,,,MC,5,A. Even today I get nervous before I go ____ . B. The band came back ____ for an encore.,*onstage,crushed,minecraft,comeback
overpower,,,,,MC,5,A. It took ten guardsmen to ____ him. B. I did ____ him the way he flattered.,priyam,rearranged,*overpower,hopeful
humanlike,,,,,MC,5,"A. The second was an avatar of a ____ dummy , again viewed from behind. B. Recent research has found that mice make ____ facial expressions when they are in pain.",experiencein,inquiring,testbeds,*humanlike
adaptable,,,,,MC,5,A. He is an ____ man and will soon learn the new work. B. The American Constitution has proved ____ in changing political conditions.,simpler,werent,overseeing,*adaptable
calif,,,,,MC,5,"A. Springsteen lives in a mansion in Beverly Hills, Calif. B. Packard Bell, based in Sacramento, Calif., has traditionally marketed its wares to the former group.",obstacles,adaptable,*calif,ive
simpler,,,,,MC,5,A. His theory cannot be translated into ____ terms. B. Nothing is ____ than a cool white shirt.,earns,facebook,*simpler,intelligenceprogram
quicker,,,,,MC,5,A. There's no denying that ____ action could have saved them. B. Air mail is ____ than sea mail.,seasoned,*quicker,bested,alphastar
adjusting,,,,,MC,5,A. This button is for ____ the volume. B. Try ____ your grip on the racket.,londonbased,selfreliant,*adjusting,gamer
cutoff,,,,,MC,5,A. The US has announced a ____ of military aid to the country. B. March 3is the ____ date for applications to be accepted.,selfdriving,togelius,crushed,*cutoff
obstacle,,,,,MC,5,A. The greatest ____ to progress is prejudice.  B. Fear of change is an ____ to progress.,cutoff,facebook,reinforcement,*obstacle
afterward,,,,,MC,5,"A. The world breaks everyone,and ____ many are strong at the bro ken places . B. I went over evenings and ____ stopped at the coffee and had a drink and read the papers.",*afterward,afterward,comeback,togelius
doorway,,,,,MC,5,A. She bumped her head in the ____ and swore loudly. B. The ____ was so low that he had to stoop.,*doorway,alphastars,wont,gametrained
shatter,,,,,MC,5,"A. This type of glass won't ____ no matter how hard you hit it. B. 'I hate to ____ your illusions,' he said.",*shatter,parashar,copenhagen,distraction
bust,,,,,MC,5,"A. What is your ____ size, madam? B. I ____ my watch this morning.",uncrewed,unwieldy,centralized,*bust
crowded,,,,,MC,5,A. One ____ hour of glorious life is worth an age without a name.  B. The train was ____ to its full capacity.,knowledgegathering,calif,*crowded,londonbased
mimic,,,,,MC,5,A. The computer model is able to ____ very closely the actions of a golfer. B. He could ____ all the teachers' accents.,openai,afterward,devises,*mimic
cleverness,,,,,MC,5,A. Everyone was impressed by the ____ of the machine. B. The little boy has proved his ____ in the television quiz.,*cleverness,pointers,reinforcement,alphastar
simulated,,,,,MC,5,A. Interviews can be ____ in the classroom. B. 'How wonderful!' she said with ____ enthusiasm.,*simulated,asoftware,crowded,teamcooking
cannot,,,,,MC,5,A. He is not fit to command others that ____ command himself.  B. One ____ eat one's cake and have it. ,bested,*cannot,youre,rearranged
modeled,,,,,MC,5,A. It is ____ after the same pattern. B. The Constitution of Canada is ____ upon that of England.,hinder,*modeled,videogame,tworoom
bridging,,,,,MC,5,A. You may require ____ finance until the sale of your own property is completed. B. She had to take out a ____ loan until she could sell her house.,sidelines,overseeing,obstacles,*bridging
